ObsID,nH(10^22 cm^-2),Flux_absorbed,Flux_unabsorbed,Src_counts,Bkg_counts,Area_src_arcsec2,Area_bkg_arcsec2,lambda_bkg,s_ul_95,rate_ul_95,exposure_s
1463,0.048,0.0,0.0,,,,,,,,
18927,0.205,3.941985448837269e-15,5.715202856285835e-15,11.0,97.0,0.8203358152980204,613.1211427247117,0.12978279256573552,18.077731458337922,0.00048325300691543676,37408.420019415
28964,0.0776,1.746350398105553e-22,2.133554335244298e-22,11.0,51.0,24.34940395010165,2254.81825734108,0.5507404410143276,17.656773809889614,0.0014225965056476357,12411.652734836
29128,0.0295,9.279043024483825e-14,1.016622847782913e-13,27.0,19.0,2.416290016062864,1001.2984236473419,0.045849977610035446,37.18831210204468,0.00392739702596642,9468.9464437056
30892,0.0192,4.9413732687389465e-24,5.257864593215423e-24,23.0,52.0,72.7446586017445,3030.203089606429,1.2483395123796883,31.337044939405242,0.002129871191452218,14713.117424739
