Photon#,Time_s_since_obs_start,UTC,Energy_keV,RA_deg,DEC_deg,X_pix,Y_pix
1,0.0,2049-07-16T14:28:55.672,1.085,,,4484.36,3452.53
2,586.9136779308319,2049-07-16T14:38:42.586,4.67,,,4479.14,3453.52
3,912.3009889125824,2049-07-16T14:44:07.973,1.581,,,4480.29,3458.29
4,1079.556129693985,2049-07-16T14:46:55.228,3.849,,,4476.83,3458.7
5,1167.745205283165,2049-07-16T14:48:23.417,1.574,,,4482.9,3454.46
6,2028.3488006591797,2049-07-16T15:02:44.021,1.103,,,4482.5,3456.26
7,2034.430801153183,2049-07-16T15:02:50.103,3.59,,,4476.99,3457.54
8,2064.8408130407333,2049-07-16T15:03:20.513,1.307,,,4477.59,3459.98
9,2192.5628913640976,2049-07-16T15:05:28.235,3.254,,,4481.72,3454.5
10,2590.9340769052505,2049-07-16T15:12:06.606,2.162,,,4480.35,3456.51
11,2730.8201558589935,2049-07-16T15:14:26.492,1.481,,,4481.71,3454.08
