obsid,duration_s,t90_s,src_counts,bkg_counts,net_counts,count_rate,nh_1e22,gamma_pl,gamma_pl_err,wstat_pl,flux_abs_pl,flux_abs_pl_err,flux_unabs_pl,flux_unabs_pl_err,fluence_abs_pl,fluence_unabs_pl,gamma1_bkn,gamma1_bkn_err,gamma2_bkn,gamma2_bkn_err,breakE_keV,breakE_keV_err,wstat_bkn,flux_abs_bkn,flux_abs_bkn_err,flux_unabs_bkn,flux_unabs_bkn_err,fluence_abs_bkn,fluence_unabs_bkn
30892,1627.0530968904495,1244.1613898277283,22.0,8.0,21.543189667107754,0.013240618704011643,0.0192,1.394807985245171,,117.5284522854721,1.1095945013729022e-12,2.3906130911933676e-13,1.1322388136366376e-12,2.439400093356569e-13,1.8053691697513948e-09,1.8422126681470597e-09,1.0940006201816825,,10.0,,4.967567393630263,,114.77693215708621,7.540278418000378e-13,1.6245473706846124e-13,7.695992531671555e-13,1.6580958605307049e-13,1.2268433351423734e-09,1.2521788482301974e-09
28964,2730.8201558589935,2367.4202774763107,10.0,2.0,9.851389134348693,0.003607483675998388,0.0776,2.3674751726428993,,66.17513069528918,2.3538883911663025e-13,7.499583241777121e-14,3.05175834221781e-13,9.72302501985246e-14,6.428045863239438e-10,8.333803191739223e-10,2.0984366892787394,,10.0,,4.700451842746842,,65.47167114677157,1.8994559430291462e-13,6.051743154983308e-14,2.388294538670495e-13,7.60920261379361e-14,5.187072574390144e-10,6.522002864329345e-10
29128,1108.7891215085983,968.0702784061432,26.0,5.0,25.992118692136387,0.023441895476726884,0.0295,0.8397680286398966,,141.0692487975462,1.0137893285180406e-12,1.988505857507663e-13,1.0248328216897007e-12,2.0101672128222756e-13,1.12407857896231e-09,1.1363234840545013e-09,-1.3872828843728089,,4.4760277113371805,,3.2357122401510905,,129.63067701812102,5.792281982953278e-13,1.1361321654742323e-13,5.816310386624282e-13,1.1408452375200977e-13,6.422419251408847e-10,6.449061684006473e-10
18927,5861.187054395676,4885.8933671712875,10.0,11.0,9.983134275604943,0.0017032615036774773,0.205,-2.3954664861727255,,73.87884171260777,3.0594963707053626e-13,9.68314613404883e-14,3.067707767394106e-13,9.709134775468077e-14,1.7932280520948825e-09,1.7980409052919395e-09,0.25958067776707583,,-2.3921692611956322,,0.8234013741475483,,73.87894229483271,3.0531536548180633e-13,9.663071769715033e-14,3.0613970181525025e-13,9.689161583897435e-14,1.7895104676700477e-09,1.7943420571160971e-09
