obsid,duration_s,t90_s,src_counts,bkg_counts,net_counts,count_rate,nh_1e22,gamma,gamma_err,norm_err,flux_abs_0p3_10,flux_abs_0p3_10_err,flux_unabs_0p3_10,flux_unabs_0p3_10_err,pimms_flux_abs,pimms_flux_unabs,fluence_abs_0p3_10,fluence_abs_0p3_10_err,fluence_unabs_0p3_10,fluence_unabs_0p3_10_err,flux_ratio_abs,flux_ratio_unabs
30892,1627.0530968904495,1244.1613898277283,22.0,8.0,21.543189667107754,0.013240618704011643,0.0192,1.3948405312786678,,,1.10957363852106e-12,2.3905681423344176e-13,1.132218819595062e-12,2.4393570163428696e-13,6.01e-14,6.34e-14,1.8053352247836948e-09,3.8895812993128633e-10,1.842180136779795e-09,3.968963387862113e-10,18.462123769069215,17.85834100307669
28964,2730.8201558589935,2367.4202774763107,10.0,2.0,9.851389134348693,0.003607483675998388,0.0776,2.3677631364535534,,,2.3537573293507395e-13,7.499165673552849e-14,3.0518302201475404e-13,9.723254025832219e-14,3.646e-14,4.331e-14,6.427687956991835e-10,2.0478872773464006e-10,8.333999477438493e-10,2.6552458074279724e-10,6.455724984505594,7.046479381545925
29128,1108.7891215085983,968.0702784061432,26.0,5.0,25.992118692136387,0.023441895476726884,0.0295,0.8397692867168166,,,1.0136623912561966e-12,1.9882568753161836e-13,1.0247045277889035e-12,2.0099155696395736e-13,1.085e-13,1.174e-13,1.1239378323072634e-09,2.204557594115262e-10,1.1361812331729414e-09,2.2285725187671169e-10,9.342510518490291,8.728317953908888
18927,5861.187054395676,4885.8933671712875,10.0,11.0,9.983134275604943,0.0017032615036774773,0.205,0.5093744277954102,,,8.678716610589319e-14,2.7467684551284058e-14,8.937654032315446e-14,2.8287207959827883e-14,1.12e-14,1.541e-14,5.086758144675483e-10,1.609932371062102e-10,5.23852621108746e-10,1.657966170991415e-10,7.748854116597606,5.799905277297499
