obsid,duration_s,t90_s,net_counts,count_rate,gamma_PL,flux_abs_PL,flux_unabs_PL,fluence_abs_PL,fluence_unabs_PL,flux_ratio_abs_PL,flux_ratio_unabs_PL,W_PL,gamma1_BPL,gamma2_BPL,breakE_BPL_keV,flux_abs_BPL,flux_unabs_BPL,fluence_abs_BPL,fluence_unabs_BPL,flux_ratio_abs_BPL,flux_ratio_unabs_BPL,W_BPL
30892,1627.0530968904495,1244.1613898277283,21.543189667107754,0.013240618704011643,1.5047949227829716,1.0738740739568526e-12,1.1003801809903977e-12,1.7472501377018606e-09,1.7903769812372998e-09,17.86812103089605,17.356154274296493,8.49447062358219,1.0642884253112477,10.0,4.576227222837251,7.153449273596049e-13,7.307424623191355e-13,1.1639041794053189e-09,1.1889567863457021e-09,11.902577826282942,11.52590634572769,5.300215014987251
28964,2730.8201558589935,2367.4202774763107,9.851389134348693,0.003607483675998388,2.7369626117626353,2.730108887954414e-13,3.937143543921018e-13,7.455436378915696e-10,1.0751630946249624e-09,7.487956357527192,9.090610814871896,0.13997154740331652,2.6144873456568294,9.84788958460022,4.863488185208939,2.404093371112195e-13,3.425146640118444e-13,6.565146634400177e-10,9.353459481608158e-10,6.593783244959395,7.90844294647528,0.1166474256392318
29128,1108.7891215085983,968.0702784061432,25.992118692136387,0.023441895476726884,0.9804711361959932,9.565216566659919e-13,9.700930511758487e-13,1.0605808073986342e-09,1.075628621994865e-09,8.815867803373196,8.263143536421197,14.002855303031481,-0.9115569521385571,7.934137512944573,3.6245516052455136,5.201707092675536e-13,5.231178972945699e-13,5.767596237632752e-10,5.800274337866713e-10,4.79420008541524,4.455859431810646,1.233747333816678
18927,5861.187054395676,4885.8933671712875,9.983134275604943,0.0017032615036774773,-1.6548110618376715,2.288716695981028e-13,2.2963658409955927e-13,1.3414596669663244e-09,1.3459429739399806e-09,20.434970499830605,14.901790012949984,1.8472377375232676,-2.8416072692618255,10.0,6.714882665853027,1.1165674331905266e-13,1.120986523661731e-13,6.544410584776123e-10,6.570311700638149e-10,9.969352082058272,7.274409627915191,0.218103235397328
