obsid,duration_s,t90_s,src_counts,bkg_counts,net_counts,count_rate,nh_1e22,gamma_pl,flux_pl,flux_pl_err,fluence_pl,fluence_pl_err,W_pl,flux_ratio_pl,gamma1_bkn,gamma2_bkn,breakE_bkn,flux_bkn,flux_bkn_err,fluence_bkn,fluence_bkn_err,W_bkn,flux_ratio_bkn
30892,1627.0530968904495,1244.1613898277283,22.0,8.0,21.543189667107754,0.013240618704011643,0.0192,1.4010985267935856,1.1149003728901824e-12,2.4020445518699534e-13,1.8140021044352883e-09,3.9082540269888397e-10,117.25018354013146,18.550754956575414,1.0998753062581874,10.0,4.967065606177431,7.588611611195294e-13,1.634960721169675e-13,1.2347074023094128e-09,2.6601679046733626e-10,114.50987832114062,12.626641615965546
28964,2730.8201558589935,2367.4202774763107,10.0,2.0,9.851389134348693,0.003607483675998388,0.0776,2.3728802242863156,2.3738937373300533e-13,7.563321080579783e-14,6.482676865768344e-10,2.0654069652080494e-10,66.0390932411205,6.510953750219565,2.0858175290944327,9.805366661862697,4.676306797492171,1.9023744532491172e-13,6.061041646117717e-14,5.195042500923922e-10,1.6551614692719034e-10,65.34828976354652,5.217702833925171
29128,1108.7891215085983,968.0702784061432,26.0,5.0,25.992118692136387,0.023441895476726884,0.0295,0.8424671331981182,1.018348128629707e-12,1.9974477554644177e-13,1.129133326933258e-09,2.2147483420407132e-10,140.77295520456553,9.385697038061815,-1.3704021064426062,4.478526113201935,3.2357995891515356,5.811849208084351e-13,1.1399701957921473e-13,6.44411517777229e-10,1.2639865519383598e-10,129.4023275370742,5.356543048925669
18927,5861.187054395676,4885.8933671712875,10.0,11.0,9.983134275604943,0.0017032615036774773,0.205,-2.47918709234241,3.2096799052346055e-13,1.0158469172735538e-13,1.881253430931501e-09,5.954068800771508e-10,73.52205715627277,28.65785629673755,0.7881498317197861,-2.477421323856219,0.8293337858634104,3.2056816879395343e-13,1.0145815023930345e-13,1.8789100009864477e-09,5.946651967455369e-10,73.52218871894695,28.622157928031555
