obsid,duration_s,t90_s,src_counts,bkg_counts,net_counts,count_rate,nh_1e22,gamma,gamma_err,norm_err,flux_abs_0p3_10,flux_abs_0p3_10_err,flux_unabs_0p3_10,flux_unabs_0p3_10_err,pimms_flux_abs,pimms_flux_unabs,fluence_abs_0p3_10,fluence_abs_0p3_10_err,fluence_unabs_0p3_10,fluence_unabs_0p3_10_err,gamma1_bkn,gamma2_bkn,breakE_keV,wstat_bkn,flux_abs_bkn_0p3_10,flux_ratio_abs,flux_ratio_unabs
30892,1627.0530968904495,1244.1613898277283,22.0,8.0,21.543189667107754,0.013240618704011643,0.0192,1.3951762566599817,,,7.780826105568076e-13,1.6763731908598308e-13,7.813197904788615e-13,1.6833476708979303e-13,6.01e-14,6.34e-14,1.2659817211430594e-09,2.7275481917326124e-10,1.2712487847604288e-09,2.7388960410778027e-10,-1.5292817626064388,2.3298319956278166,1.958617871176759,114.4360080878341,7.780826105568076e-13,12.946466065837063,12.323656001243872
28964,2730.8201558589935,2367.4202774763107,10.0,2.0,9.851389134348693,0.003607483675998388,0.0776,2.3692511821215505,,,6.148617409383201e-13,1.958974276629222e-13,1.155479381378456e-12,3.68140385811208e-13,3.646e-14,4.331e-14,1.6790768352209154e-09,5.349606439428371e-10,3.155406384347769e-09,1.005325185758953e-09,4.025437555435893,1.5828810647794194,1.9352711387837556,65.42781723372464,6.148617409383201e-13,16.864008253930887,26.679274564268205
29128,1108.7891215085983,968.0702784061432,26.0,5.0,25.992118692136387,0.023441895476726884,0.0295,0.8401825371107536,,,5.793930438085587e-13,1.1364555031336677e-13,5.817955595316779e-13,1.1411679384037848e-13,1.085e-13,1.174e-13,6.424247040526846e-10,1.2600894989531914e-10,6.450885873507325e-10,1.265314595916511e-10,-1.3873449796503992,4.473886670565249,3.2357907336616685,129.63067939830952,5.793930438085587e-13,5.340028053535104,4.955669161257903
18927,5861.187054395676,4885.8933671712875,10.0,11.0,9.983134275604943,0.0017032615036774773,0.205,0.5093744277954102,,,3.0570276761796015e-13,9.675332844880666e-14,3.065437558718841e-13,9.701949683644515e-14,1.12e-14,1.541e-14,1.7917811040553176e-09,5.670893561738384e-10,1.7967102935221155e-09,5.686494188817545e-10,1.906027588551484,-2.394443617975187,0.8906343661285989,73.87942047662956,3.0570276761796015e-13,27.294889965889297,19.892521471244912
