Photon#,Time_s_since_obs_start,UTC,Energy_keV,RA_deg,DEC_deg,X_pix,Y_pix
5,8097.565513134003,2049-12-12T00:23:31.862,3.023,,,4029.54,3901.71
6,8163.527437448502,2049-12-12T00:24:37.824,1.624,,,4029.52,3901.63
7,8260.899813652039,2049-12-12T00:26:15.197,3.619,,,4030.08,3902.58
8,8323.720697641373,2049-12-12T00:27:18.018,1.397,,,4030.93,3902.78
9,8399.10577249527,2049-12-12T00:28:33.403,2.156,,,4031.4,3902.84
10,8483.913987994194,2049-12-12T00:29:58.211,1.811,,,4029.14,3901.38
11,8487.05502820015,2049-12-12T00:30:01.352,2.688,,,4030.11,3903.49
12,8521.606530427933,2049-12-12T00:30:35.903,2.117,,,4030.73,3903.63
13,8540.452801585197,2049-12-12T00:30:54.750,2.821,,,4030.27,3902.43
14,8543.593841910362,2049-12-12T00:30:57.891,2.168,,,4029.26,3904.16
15,8568.722203493118,2049-12-12T00:31:23.019,3.193,,,4031.03,3902.68
16,8625.261027097702,2049-12-12T00:32:19.558,3.255,,,4031.1,3904.06
17,8684.94089102745,2049-12-12T00:33:19.238,4.34,,,4030.14,3901.28
18,8688.081941246986,2049-12-12T00:33:22.379,3.081,,,4031.78,3903.02
19,8725.774483561516,2049-12-12T00:34:00.071,2.074,,,4030.38,3903.89
20,8738.338674545288,2049-12-12T00:34:12.636,3.767,,,4030.58,3902.47
21,8889.108894228935,2049-12-12T00:36:43.406,1.728,,,4030.82,3902.96
22,8892.24993443489,2049-12-12T00:36:46.547,2.5,,,4029.29,3902.61
23,8911.096215724945,2049-12-12T00:37:05.393,3.162,,,4030.46,3903.63
24,8920.519356250763,2049-12-12T00:37:14.816,3.841,,,4030.87,3903.55
25,8980.199240088463,2049-12-12T00:38:14.496,3.376,,,4029.26,3901.94
26,9159.238921642303,2049-12-12T00:41:13.536,3.308,,,4030.42,3902.88
27,9206.354634642601,2049-12-12T00:42:00.651,3.114,,,4030.05,3901.58
