RA,DEC,THETA,POS_ERR,SIGNIFICANCE,gaia_match,archival_match,chandra_match,erosita_match,ned_match,simbad_match,vizier_match,xray-binaries_match
296.1168204003397,50.58232209391655,4.635041326474016,0.26624732613107654,12.856217384338379,no,no,no,no,no,unknown,no,no
175.00502802912297,-31.917418672849003,4.744574717512451,0.363050812299814,10.53874397277832,no,no,no,no,no,unknown,no,no
193.92558423665074,38.355548401329195,4.479080668592424,0.33788743194529786,5.775545597076416,no,no,no,no,no,unknown,no,no
296.1168204003397,50.58232209391655,4.635041326229995,0.26624732613107654,12.856217384338379,no,no,no,no,no,unknown,no,no
175.00502802912297,-31.917418672849003,4.7445747173023385,0.363050812299814,10.53874397277832,no,no,no,no,no,unknown,no,no
193.92558423665074,38.355548401329195,4.479080668884337,0.33788743194529786,5.775545597076416,no,no,no,no,no,unknown,no,no
135.3878700225477,32.4498912048408,11.276849702981647,1.3929861014662144,6.664372444152832,no,no,no,no,no,unknown,no,no
225.7742933839459,-41.68596219208425,17.612237901209994,0.5393129706818298,26.235595703125,no,no,no,no,no,unknown,no,no
146.822488211099,31.855842988397296,10.992642880352422,0.0,59.0424919128418,no,no,no,no,no,unknown,no,no
244.71666778935645,-1.9917586366433389,6.123377972479414,0.4046336859742479,6.603705406188965,no,no,no,no,no,unknown,no,no
186.38160579588651,13.066448199381336,13.286152246690815,0.23417622284761772,129.07974243164062,no,no,no,no,no,unknown,no,no
185.1231250539735,29.148762905342394,10.136700459944564,0.60626599715284,5.235555171966553,no,no,no,no,no,unknown,no,no
148.95862943977176,69.67960165553323,2.6087509299952463,0.008317236638235062,944.1443481445312,no,no,no,unknown,unknown,unknown,no,no
202.24637847281664,47.251509556276574,11.482875205983616,0.9412230671383681,7.751191139221191,no,no,no,no,no,unknown,no,no
148.95849496409087,69.6798046607721,2.834317947726221,0.00584281815885396,2312.283203125,no,no,no,no,no,unknown,no,no
110.91726633553317,80.27600102482708,11.161697925829309,1.0234639184514998,7.076607704162598,no,no,no,no,no,unknown,no,no
192.7427024418438,-6.568776780279981,9.218607546902582,0.9101626314816416,11.262083053588867,no,no,no,no,no,unknown,no,no
201.3647144877473,-43.01961426097256,4.570029740065775,0.008151915791292237,1331.677734375,no,no,no,no,no,unknown,no,no
166.49332681846138,-18.215672270456395,11.575638085071985,0.49200000000008304,3.848787307739258,no,no,no,no,no,unknown,no,no
233.73483173846552,23.468426279859813,2.195102919102303,0.1678436732318618,7.600986480712891,no,no,no,no,no,unknown,no,no
289.58999106608377,49.60698191198801,4.2424422313296795,0.13947388079511097,44.112918853759766,no,no,no,no,no,unknown,no,no
187.70580191000766,12.391351308354587,0.14505689225992993,0.01818675471470634,337.95147705078125,no,no,no,no,no,unknown,no,no
131.2619171087293,3.3025523568205153,11.884152805911743,1.1785956287542683,9.694099426269531,no,no,no,no,no,unknown,no,no
207.14006897584116,26.369966129565753,15.0650848767778,0.5966811964823064,28.663747787475586,no,no,no,no,no,unknown,no,no
197.9877354895833,42.52782227822458,11.169158836654475,0.7578486742263191,12.306845664978027,no,no,no,no,no,unknown,no,no
238.1109459121021,20.199873660633326,4.869188315314452,0.3580757950490143,14.077508926391602,no,no,no,no,no,unknown,no,no
212.12042480311058,-27.05793588358309,12.9576222540769,0.4175605983728033,35.97532653808594,no,no,no,no,no,unknown,no,no
207.34718900057644,26.584445157981065,5.859264076267365,0.42929232748694457,10.947996139526367,no,no,no,no,no,unknown,no,no
24.68359814315369,8.708503181552839,1.7834521471688551,0.22759985940267585,9.695898056030273,no,no,no,no,no,unknown,no,no
54.89680312634917,-35.42891557700896,0.601401942431699,0.2832529234781057,7.5699262619018555,no,no,no,no,no,unknown,no,no
83.82059657642446,-5.765504819329834,5.734543859719933,0.1443578050323481,63.5009880065918,no,no,no,no,no,unknown,unknown,unknown
83.8739415926579,-4.997375920735759,0.22559062712340072,0.13865891257770357,11.376157760620117,no,no,no,no,no,unknown,no,no
83.8332980619142,-5.420580788287805,1.677632142848779,0.13513216863503347,17.386167526245117,no,no,no,no,no,unknown,no,no
6.044029971682326,-72.09145224631821,0.6454216652343023,0.14874959719860717,8.0218505859375,no,no,no,no,no,unknown,no,no
359.5099734875281,-32.74356836938804,11.268806893957887,0.9723506998743432,4.2261857986450195,no,no,no,no,no,unknown,no,no
60.731160497492844,-67.69056106749785,19.046712435989473,0.0,4.836564540863037,no,no,no,no,no,unknown,no,no
287.846428153368,-53.191727062771655,10.60169769690846,1.0885097209087136,8.31972885131836,no,no,no,no,no,unknown,no,no
16.018003205878873,-72.0337729926932,3.585260497257953,0.029751650812451732,332.7301330566406,no,no,no,no,no,unknown,no,no
23.460984581519455,30.658966304896843,9.164397734913614,0.034296982903975926,533.6614990234375,no,no,no,no,no,unknown,no,no
49.546264181325654,-41.07778054755838,10.97729841607418,1.1741391349576284,5.305384635925293,no,no,no,no,no,unknown,no,no
345.49247353458145,15.948704408623852,1.6198634484956558,0.12980449528845478,11.853720664978027,no,no,no,no,no,unknown,no,no
318.52930842360524,2.20590223892707,17.025169636321227,1.6015828034455903,5.351128101348877,no,no,no,no,no,unknown,no,no
319.09801135753315,-34.10520255890338,10.732207211719786,1.5195749151461553,3.3227243423461914,no,no,no,no,no,unknown,no,no
90.00442552429595,-52.71505396194505,4.7002281375231645,0.297305841643167,13.424652099609375,no,no,no,no,no,unknown,no,no
87.16232304288518,-25.569297436409812,5.575121069036029,0.46088308705784564,9.637309074401855,no,no,no,no,no,unknown,no,no
15.935701823730643,-21.812737739402596,7.382749553196464,0.32233906529272877,16.31013298034668,no,no,no,no,no,unknown,no,no
45.26769429629731,-77.88089801038846,6.619279669811791,0.5113110614917861,7.691292762756348,no,no,no,no,no,unknown,no,no
356.264595707039,-42.6449269860982,3.1447852252936253,0.06409228356553302,59.1251220703125,no,no,no,no,no,unknown,no,no
50.4752830242058,41.24685013135105,3.501585651529159,0.23329936072769422,10.786760330200195,no,no,no,no,no,unknown,no,no
30.116674809691382,31.60877258530154,10.972310134301692,1.4280395277891993,6.712177276611328,no,no,no,no,no,unknown,no,no
16.009075423465166,-72.03140603422013,13.332509941954116,0.1005930971373056,574.9042358398438,no,no,no,no,no,unknown,no,no
318.12639520334113,-63.4990031574932,3.669990578400112,0.26111454686478813,8.194194793701172,no,no,no,no,no,unknown,no,no
53.076732001795406,-27.873617556863884,4.282389103481599,0.13653798415859983,46.4254150390625,no,no,no,no,no,unknown,no,no
53.161606538821474,-27.859479451542928,3.73572657624236,0.08733955248514905,47.02117919921875,no,no,no,no,no,unknown,no,no
85.04414541360073,-69.332127910047,16.09856521774146,0.04025448797323898,1756.0706787109375,unknown,no,no,no,no,unknown,no,no
84.447150917642,-69.17203764909439,6.654031732701292,0.028654277193404618,897.4837646484375,no,no,no,no,no,unknown,no,no
84.44720899389853,-69.17203747820109,6.580139658822987,0.03422319942894742,727.4447021484375,no,no,no,no,no,unknown,no,no
84.44757648299522,-69.17236839717928,6.2101145675978096,0.04118109380327638,602.3534545898438,no,no,no,no,no,unknown,no,no
