Photon#,Time_s_since_obs_start,UTC,Energy_keV,RA_deg,DEC_deg,X_pix,Y_pix
1,860541931.0955842,2052-07-15T20:56:57.366,2.814,,,4159.05,2967.48
2,860541943.6596949,2052-07-15T20:57:09.930,5.076,,,4156.4,2980.46
3,860541953.0827656,2052-07-15T20:57:19.353,3.53,,,4159.29,2977.42
4,860541984.4930277,2052-07-15T20:57:50.764,2.722,,,4158.83,2965.75
5,860542012.7622595,2052-07-15T20:58:19.033,1.49,,,4149.31,2970.1
6,860542019.0443199,2052-07-15T20:58:25.315,1.869,,,4150.94,2969.56
7,860542063.0186927,2052-07-15T20:59:09.289,4.563,,,4150.76,2982.25
8,860542157.2494888,2052-07-15T21:00:43.520,2.096,,,4151.38,2977.86
9,860542207.5059223,2052-07-15T21:01:33.777,1.943,,,4159.86,2976.84
10,860542210.6469524,2052-07-15T21:01:36.918,1.577,,,4155.5,2967.68
11,860542323.7239398,2052-07-15T21:03:29.995,3.685,,,4148.88,2972.73
12,860542367.6983128,2052-07-15T21:04:13.969,2.494,,,4159.99,2966.68
13,860542443.0829878,2052-07-15T21:05:29.354,1.356,,,4149.43,2975.98
14,860542493.3394411,2052-07-15T21:06:19.610,4.921,,,4159.97,2977.33
15,860542496.4804614,2052-07-15T21:06:22.751,2.214,,,4152.59,2967.06
16,860542502.7625217,2052-07-15T21:06:29.033,4.267,,,4157.16,2974.8
17,860542559.3010255,2052-07-15T21:07:25.572,3.748,,,4161.18,2969.02
18,860542562.4420557,2052-07-15T21:07:28.713,1.716,,,4150.37,2971.83
19,860542625.2626299,2052-07-15T21:08:31.533,2.094,,,4157.65,2979.8
20,860542644.108801,2052-07-15T21:08:50.379,2.422,,,4161.97,2977.27
21,860542691.2242341,2052-07-15T21:09:37.495,1.83,,,4157.32,2970.66
22,860543244.0455205,2052-07-15T21:18:50.316,1.334,,,4162.46,2969.64
23,860543558.148681,2052-07-15T21:24:04.419,1.139,,,4156.63,2967.15
