Photon#,Time_s_since_obs_start,UTC,Energy_keV,RA_deg,DEC_deg,X_pix,Y_pix
1,813228404.4944408,2049-07-16T14:28:55.672,1.085,,,4484.36,3452.53
2,813228991.4081187,2049-07-16T14:38:42.586,4.67,,,4479.14,3453.52
3,813229316.7954297,2049-07-16T14:44:07.973,1.581,,,4480.29,3458.29
4,813229484.0505705,2049-07-16T14:46:55.228,3.849,,,4476.83,3458.7
5,813229572.2396461,2049-07-16T14:48:23.417,1.574,,,4482.9,3454.46
6,813230432.8432415,2049-07-16T15:02:44.021,1.103,,,4482.5,3456.26
7,813230438.925242,2049-07-16T15:02:50.103,3.59,,,4476.99,3457.54
8,813230469.3352538,2049-07-16T15:03:20.513,1.307,,,4477.59,3459.98
9,813230597.0573322,2049-07-16T15:05:28.235,3.254,,,4481.72,3454.5
10,813230995.4285177,2049-07-16T15:12:06.606,2.162,,,4480.35,3456.51
11,813231135.3145967,2049-07-16T15:14:26.492,1.481,,,4481.71,3454.08
